id,X,Y
0,395141.5756,4619891.465
1,395267.6855,4619541.988
2,395177.9343,4619966.368
3,395444.7146,4619615.272
4,395236.0146,4619433.194
5,394926.9044,4619546.694
6,395352.2664,4619516.555
7,394586.8225,4619813.867
8,394971.5879,4619707.107
9,395352.9964,4619890.996
10,395189.1443,4619396.299
11,394757.107,4619098.632
12,394767.5302,4619372.313
13,395033.2271,4619827.526
14,395077.4535,4619721.019
15,395378.1062,4619720.898
16,394905.8893,4619298.083
17,395073.9557,4619996.697
18,395430.0881,4619028.448
19,394981.8097,4619515.932
20,395468.9879,4619807.371
21,394864.5657,4619055.962
22,395331.6063,4619538.631
23,394938.2578,4619666.178
24,394682.5336,4619650.567
25,395480.5153,4619274.564
26,395062.9053,4619658.456
27,395165.2833,4619819.881
28,395057.7049,4619590.865
29,395469.746,4619490.486
30,394598.4194,4619491.358
31,394910.7061,4619713.668
32,395394.0193,4619405.141
33,395214.9154,4619568.202
34,394733.489,4619958.428
35,394888.7881,4619904.694
36,395307.9567,4619227.651
37,395334.3911,4619807.106
38,395242.9853,4619490.56
39,394591.6137,4619944.691
40,395077.776,4619407.008
41,394744.574,4619524.653
42,394612.832,4619488.89
43,394754.0549,4619556.069
44,395281.7795,4619797.481
45,395531.2286,4619039.635
46,394588.6245,4619820.63
47,394954.2224,4619991.069
48,394628.2473,4619501.049
49,394595.0634,4619612.734
50,395136.9529,4619692.808
51,395088.1859,4619041.951
52,394893.2401,4619845.236
53,395451.8402,4619060.857
54,395314.1525,4619512.179
55,395215.3298,4619401.006
56,394738.2664,4619815.347
57,395007.397,4619497.466
58,395388.114,4619012.521
59,395410.4781,4619009.621
60,394902.4327,4619010.381
61,395427.0682,4619755.434
62,394856.1857,4619606.505
63,394783.6703,4619172.879
64,395192.4242,4619229.299
65,395035.4099,4619803.984
66,394869.5204,4619179.153
67,395288.1164,4619772.854
68,394879.324,4619533.985
69,395245.41,4619658.979
70,395324.4346,4619947.764
71,395266.0311,4619381.914
72,394577.426,4619625.611
73,395148.4834,4619671.556
74,394754.9537,4619977.081
75,395048.2221,4619085.66
76,394679.7929,4619793.275
77,394806.8218,4619385.579
78,394642.5985,4619577.985
79,395302.3473,4619262.649
80,395106.762,4619115.934
81,395383.2419,4619555.558
82,395501.469,4619498.106
83,395373.1042,4619676.985
84,394689.6154,4619521.742
85,395071.5121,4619480.416
86,394979.5002,4619591.525
87,395209.0935,4619990.449
88,394696.2411,4619720.437
89,395462.3767,4619801.958
90,394828.2541,4619058.037
91,394607.3135,4619219.139
92,394935.9256,4619030.079
93,395053.5288,4619899.205
94,394949.4937,4619868.533
95,395252.2721,4619107.262
96,395151.407,4619173.832
97,395512.9444,4619358.323
98,394931.964,4619917.303
99,395441.2347,4619350.796
100,395285.4636,4619859.794
101,394568.6668,4619722.594
102,395485.158,4619395.502
103,394998.6258,4619702.966
104,394963.3574,4619929.875
105,395109.1575,4619873.517
106,394670.2559,4619153.645
107,395239.9472,4619534.508
108,395343.4294,4619802.318
109,395333.0164,4619391.828
110,395232.46,4619495.177
111,394721.5751,4619732.102
112,395072.0559,4619175.743
113,394939.677,4619666.666
114,395163.8272,4619099.4
115,395141.2378,4619979.656
116,394577.1382,4619510.613
117,395052.8642,4619791.397
118,394713.48,4619962.365
119,395377.9257,4619090.35
120,394737.5898,4619960.239
121,394956.9657,4619262.737
122,394912.0994,4619894.349
123,394624.4179,4619136.098
124,395227.9136,4619497.421
125,394871.9946,4619074.84
126,394590.6022,4619281.273
127,395159.0802,4619825.058
128,395542.7487,4619693.228
129,395247.4381,4619391.025
130,395402.8387,4619251.794
131,394626.9163,4619126.407
132,395514.7334,4619432.773
133,394650.9363,4619657.643
134,394639.7512,4619845.394
135,394937.0328,4619116.752
136,394709.3102,4619647.377
137,395283.7028,4619058.028
138,394689.0818,4619007.38
139,395020.7192,4619039.986
140,395026.7392,4618991.637
141,394694.5231,4619134.819
142,395466.7053,4619391.514
143,394980.8588,4619097.784
144,395355.2748,4619536.124
145,395293.7767,4619925.392
146,395483.2961,4619469.447
147,395465.9447,4619658.796
148,394640.35,4619528.037
149,394977.939,4619987.62
150,394862.8183,4619348.829
151,394695.9697,4619429.916
152,395509.4602,4619083.73
153,395183.8574,4619460.317
154,395513.569,4619245.524
155,395391.7768,4619897.981
156,394581.7124,4619010.68
157,394555.3992,4619420.677
158,394963.7496,4619356.403
159,395241.3829,4619151.656
160,394699.9257,4619818.39
161,394867.1497,4619849.555
162,395266.0653,4619107.113
163,395030.286,4619219.987
164,395200.2277,4619419.947
165,395323.7751,4619329.355
166,394589.4951,4619861.237
167,395097.2421,4619332.992
168,394866.5085,4619839.491
169,395312.8435,4619712.919
170,394845.4641,4619956.451
171,395081.7249,4619962.538
172,394595.915,4619208.587
173,394898.1271,4619725.927
174,395436.8739,4619424.835
175,395073.1838,4619105.693
176,394557.0195,4619684.825
177,394747.0387,4619620.544
178,395302.4612,4619313.111
179,395260.0876,4619074.805
180,394880.0543,4619302.494
181,395141.6255,4619515.276
182,395419.9792,4619373.258
183,395327.7567,4619787.749
184,395246.4451,4619791.468
185,395517.6525,4619883.973
186,395145.5211,4619389.561
187,394858.233,4619940.793
188,394848.5497,4619645.683
189,394961.7208,4619158.643
190,395543.5391,4619302.691
191,395484.0068,4619170.218
192,394957.2974,4619169.647
193,394981.207,4619264.386
194,394842.3737,4619895.55
195,394682.336,4619456.918
196,395097.0605,4619647.878
197,394763.1058,4619707.643
198,395382.7037,4619122.969
199,395168.118,4619022.144
200,394997.8779,4619976.427
201,394632.0097,4619436.517
202,394867.8905,4619451.096
203,394692.3844,4619612.708
204,394615.4657,4619068.148
205,395125.2159,4619977.281
206,394638.1788,4619373.333
207,394874.9542,4619627.692
208,395124.2036,4619121.094
209,394571.9761,4619366.354
210,394958.5473,4619020.071
211,395298.735,4619659.299
212,394936.7033,4619970.178
213,394583.3003,4619935.553
214,395533.8496,4619501.877
215,395374.0598,4619292.289
216,395317.0135,4619044.678
217,394602.1624,4619082.006
218,395056.5806,4619574.274
219,395363.8554,4619124.314
220,394838.6217,4619712.398
221,394556.7339,4619529.862
222,394852.0883,4619032.371
223,394548.4141,4619705.274
224,395451.5084,4619742.892
225,395065.0309,4619131.908
226,394884.3853,4619540.341
227,394537.2022,4619358.025
228,395250.3428,4619688.07
229,394699.5196,4619515.307
230,394598.2569,4619585.081
231,394618.445,4619736.657
232,394824.7267,4619587.016
233,394906.8896,4619575.104
234,395012.3197,4619589.418
235,395361.4616,4618996.13
236,394605.5485,4619452.869
237,394674.7577,4619769.775
238,395190.8703,4619846.002
239,395417.6128,4619730.14
240,395446.7885,4619255.448
241,395230.0502,4619704.576
242,395403.4106,4619363.599
243,395295.7979,4619535.568
244,395374.9604,4619754.692
245,395352.5194,4619784.346
246,395327.4985,4619231.955
247,394970.6957,4619886.844
